date,instance_id,instance_type,environment,pricing_model,cpu_avg_percent,memory_avg_percent,hours_used,daily_cost_usd
11-07-2025,i-40005,c5.large,staging,on_demand,32.14,90.76,13,1.1
11-07-2025,i-98117,c5.large,prod,on_demand,85.8,58.74,24,2.04
11-07-2025,i-32962,m5.xlarge,prod,on_demand,58.71,48.12,24,4.61
11-07-2025,i-46458,m5.2xlarge,prod,spot,29.92,37.94,19,3.65
11-07-2025,i-74451,m5.large,prod,reserved,62.16,73.95,22,1.48
11-07-2025,i-53687,t3.medium,staging,reserved,72.28,77.12,18,0.52
11-07-2025,i-53228,m5.xlarge,prod,on_demand,12.75,52.03,14,2.69
11-07-2025,i-96846,m5.2xlarge,prod,reserved,9.89,56.71,16,4.3
11-07-2025,i-21542,m5.2xlarge,prod,on_demand,42.53,85.45,19,7.3
11-07-2025,i-62976,m5.xlarge,staging,reserved,34.83,19.95,13,1.75
11-07-2025,i-70552,c5.large,dev,spot,17.15,74.73,20,0.85
11-07-2025,i-57419,m5.2xlarge,dev,on_demand,57.55,18.6,20,7.68
11-07-2025,i-16764,c5.large,staging,spot,12.15,69.58,19,0.81
11-07-2025,i-47752,m5.large,staging,spot,11.18,79.86,14,0.67
11-07-2025,i-13783,m5.2xlarge,prod,reserved,65.03,16.91,13,3.49
12-07-2025,i-50730,c5.large,dev,spot,12.21,93.86,14,0.6
12-07-2025,i-22217,c5.large,dev,spot,36.81,41.5,18,0.77
12-07-2025,i-94896,m5.large,dev,reserved,74.09,90.52,13,0.87
12-07-2025,i-76698,m5.large,staging,spot,88.81,74.04,16,0.77
12-07-2025,i-41946,m5.xlarge,staging,reserved,36.98,17.1,19,2.55
12-07-2025,i-34983,m5.2xlarge,prod,on_demand,71.06,57.46,18,6.91
12-07-2025,i-19150,c5.large,prod,spot,41.06,87.04,14,0.6
12-07-2025,i-76550,m5.xlarge,staging,reserved,14.45,51.87,24,3.23
12-07-2025,i-49132,m5.xlarge,dev,reserved,5.97,49.84,23,3.09
12-07-2025,i-29476,c5.large,prod,spot,9.79,20.1,19,0.81
12-07-2025,i-53573,m5.2xlarge,prod,reserved,14.99,65.18,17,4.57
12-07-2025,i-52176,c5.large,prod,reserved,68.41,59.59,19,1.13
12-07-2025,i-60196,m5.large,prod,on_demand,86.78,41.86,21,2.02
12-07-2025,i-71993,m5.large,staging,on_demand,29.29,83.83,17,1.63
12-07-2025,i-95461,m5.2xlarge,staging,spot,24.01,91.87,24,4.61
12-07-2025,i-75836,m5.large,staging,on_demand,6.03,92.44,14,1.34
12-07-2025,i-23069,c5.large,staging,on_demand,8.67,85.75,19,1.62
12-07-2025,i-28894,c5.large,staging,on_demand,49.85,94.4,23,1.96
12-07-2025,i-71537,m5.2xlarge,prod,on_demand,11.27,57.08,13,4.99
12-07-2025,i-62098,m5.xlarge,staging,spot,87.39,54.46,23,2.21
13-07-2025,i-59808,t3.medium,staging,spot,58.5,69.14,20,0.42
13-07-2025,i-73956,m5.xlarge,prod,spot,43.64,63.34,24,2.3
13-07-2025,i-40771,c5.large,dev,spot,54.67,86.6,13,0.55
13-07-2025,i-66881,m5.xlarge,dev,spot,8.86,33.88,13,1.25
13-07-2025,i-68153,t3.medium,prod,spot,85.78,85.67,13,0.27
13-07-2025,i-16028,m5.large,prod,reserved,43.73,62.71,12,0.81
13-07-2025,i-59131,m5.xlarge,dev,reserved,28.58,25.99,17,2.28
13-07-2025,i-64008,m5.2xlarge,dev,on_demand,44.41,40.03,20,7.68
13-07-2025,i-32946,c5.large,prod,on_demand,54.61,16.61,14,1.19
13-07-2025,i-99539,t3.medium,prod,reserved,87.82,93.83,21,0.61
13-07-2025,i-40433,m5.large,staging,spot,64.34,55.57,14,0.67
13-07-2025,i-43466,m5.2xlarge,prod,reserved,31.31,79.17,19,5.11
13-07-2025,i-81643,t3.medium,staging,reserved,63.2,23.82,22,0.64
13-07-2025,i-87014,m5.large,dev,reserved,82.43,79.92,17,1.14
13-07-2025,i-42780,m5.xlarge,prod,reserved,85.73,71.69,23,3.09
13-07-2025,i-73335,m5.2xlarge,staging,on_demand,57.14,45.55,18,6.91
13-07-2025,i-57049,t3.medium,dev,reserved,84.28,83.62,21,0.61
13-07-2025,i-12875,c5.large,staging,spot,8.84,12.24,16,0.68
13-07-2025,i-99889,m5.2xlarge,staging,on_demand,37,78.9,21,8.06
13-07-2025,i-47512,t3.medium,prod,spot,88.92,22.79,19,0.4
14-07-2025,i-93442,m5.large,prod,reserved,55.5,42.38,15,1.01
14-07-2025,i-96400,m5.large,prod,reserved,87.44,81.58,22,1.48
14-07-2025,i-94717,m5.large,prod,on_demand,76.26,49.84,22,2.11
14-07-2025,i-85965,t3.medium,staging,reserved,40.26,33.24,12,0.35
14-07-2025,i-48680,m5.xlarge,prod,on_demand,9.79,83.5,13,2.5
14-07-2025,i-36318,m5.xlarge,prod,reserved,74.1,94.98,14,1.88
14-07-2025,i-75771,m5.large,prod,reserved,89.71,57.21,20,1.34
14-07-2025,i-48684,m5.xlarge,dev,reserved,70.36,90.31,19,2.55
14-07-2025,i-28449,m5.xlarge,dev,reserved,77.22,31.02,13,1.75
14-07-2025,i-62089,m5.large,prod,spot,43.3,20.98,22,1.06
14-07-2025,i-61717,c5.large,staging,on_demand,86.09,61.52,24,2.04
14-07-2025,i-69609,t3.medium,staging,spot,24.43,67.09,13,0.27
14-07-2025,i-44362,m5.xlarge,prod,spot,57.54,40.44,22,2.11
14-07-2025,i-24201,c5.large,staging,spot,14.65,67.08,17,0.72
14-07-2025,i-83584,m5.large,staging,on_demand,49.23,75.65,21,2.02
14-07-2025,i-18285,m5.xlarge,prod,on_demand,49.21,82.44,22,4.22
14-07-2025,i-63516,m5.2xlarge,prod,reserved,51.91,57.68,22,5.91
14-07-2025,i-49893,t3.medium,dev,on_demand,79.52,44.3,12,0.5
14-07-2025,i-80457,m5.2xlarge,dev,on_demand,16.39,12.45,15,5.76
14-07-2025,i-97881,m5.large,staging,reserved,69.19,62.73,17,1.14
15-07-2025,i-30253,c5.large,staging,spot,64.85,28.1,23,0.98
15-07-2025,i-90694,m5.2xlarge,prod,on_demand,16.59,11.24,19,7.3
15-07-2025,i-58566,m5.2xlarge,staging,on_demand,34.8,60.14,23,8.83
15-07-2025,i-57537,m5.large,staging,reserved,38.34,47.19,15,1.01
15-07-2025,i-94518,t3.medium,prod,reserved,81.85,39.6,20,0.58
15-07-2025,i-34878,m5.xlarge,dev,reserved,48.69,76.61,16,2.15
15-07-2025,i-37801,t3.medium,staging,on_demand,38.71,62.88,22,0.92
15-07-2025,i-53713,c5.large,dev,on_demand,78.3,90.71,24,2.04
15-07-2025,i-18992,m5.large,dev,spot,17.5,88.76,15,0.72
15-07-2025,i-40539,c5.large,dev,spot,46.83,31.95,15,0.64
15-07-2025,i-46342,m5.xlarge,dev,spot,44.03,93.3,12,1.15
15-07-2025,i-32871,m5.large,dev,spot,46.87,37.94,16,0.77
15-07-2025,i-11947,t3.medium,prod,on_demand,58.84,30.41,14,0.58
15-07-2025,i-12068,m5.xlarge,dev,spot,11.45,20.95,17,1.63
15-07-2025,i-65176,m5.large,staging,on_demand,15.88,22.91,14,1.34
15-07-2025,i-72422,c5.large,dev,spot,16.8,64.47,13,0.55
15-07-2025,i-24293,m5.2xlarge,staging,spot,20.46,39.38,21,4.03
15-07-2025,i-15683,m5.2xlarge,prod,on_demand,81.23,50.29,21,8.06
15-07-2025,i-14082,c5.large,staging,reserved,61.74,24.65,22,1.31
15-07-2025,i-99928,t3.medium,staging,reserved,21.34,13.47,18,0.52
16-07-2025,i-19632,t3.medium,staging,spot,19.36,33.68,19,0.4
16-07-2025,i-18609,t3.medium,staging,spot,20.05,17.54,14,0.29
16-07-2025,i-86724,m5.large,staging,spot,15.25,49.17,22,1.06
16-07-2025,i-88301,c5.large,prod,reserved,22.54,40.96,18,1.07
16-07-2025,i-89354,c5.large,staging,reserved,47.79,68.68,20,1.19
16-07-2025,i-95814,m5.2xlarge,dev,spot,8.34,77.95,13,2.5
16-07-2025,i-69186,c5.large,prod,on_demand,58.37,16.95,18,1.53
16-07-2025,i-62262,m5.large,staging,reserved,79.25,88.27,19,1.28
16-07-2025,i-65936,m5.2xlarge,prod,on_demand,10.19,33.53,17,6.53
16-07-2025,i-30006,m5.xlarge,prod,reserved,73.53,73.6,17,2.28
16-07-2025,i-22219,m5.2xlarge,dev,on_demand,20.68,27.79,13,4.99
16-07-2025,i-58843,m5.2xlarge,dev,spot,36.49,51.18,23,4.42
16-07-2025,i-83608,m5.large,prod,on_demand,57.55,41.36,21,2.02
16-07-2025,i-63845,c5.large,staging,spot,44.32,73.54,13,0.55
16-07-2025,i-16743,m5.xlarge,prod,reserved,8.12,31.46,23,3.09
16-07-2025,i-23579,m5.xlarge,prod,reserved,65.63,86.09,17,2.28
16-07-2025,i-96079,c5.large,prod,on_demand,48.49,55.23,14,1.19
16-07-2025,i-82910,m5.2xlarge,dev,on_demand,14.11,48.03,17,6.53
16-07-2025,i-39643,m5.xlarge,dev,reserved,50.27,30.61,21,2.82
16-07-2025,i-98470,m5.2xlarge,prod,spot,27.89,42.07,21,4.03
17-07-2025,i-45054,c5.large,dev,spot,6.71,37.38,22,0.94
17-07-2025,i-50499,t3.medium,dev,reserved,22.97,37.84,23,0.67
17-07-2025,i-28776,m5.xlarge,staging,on_demand,15.18,85.69,14,2.69
17-07-2025,i-28595,c5.large,prod,reserved,55.46,67.72,13,0.77
17-07-2025,i-38197,t3.medium,dev,spot,72.08,52.37,20,0.42
17-07-2025,i-30631,m5.2xlarge,staging,reserved,12.39,55.65,17,4.57
17-07-2025,i-84395,m5.xlarge,staging,spot,54.88,73.36,17,1.63
17-07-2025,i-30632,c5.large,dev,on_demand,41.69,20.84,14,1.19
17-07-2025,i-45665,c5.large,dev,spot,29.12,40.86,13,0.55
17-07-2025,i-89570,m5.2xlarge,prod,reserved,59.9,58.52,19,5.11
17-07-2025,i-77154,m5.2xlarge,staging,reserved,35.27,93.85,15,4.03
17-07-2025,i-47125,t3.medium,staging,reserved,56.49,30.16,13,0.38
17-07-2025,i-50425,c5.large,staging,spot,13.65,22.99,22,0.94
17-07-2025,i-17180,t3.medium,dev,reserved,25.91,23.66,21,0.61
17-07-2025,i-27987,t3.medium,dev,reserved,20.86,34.23,15,0.44
17-07-2025,i-11013,m5.xlarge,staging,reserved,19.74,86.23,13,1.75
17-07-2025,i-26932,m5.2xlarge,prod,reserved,11.82,54.58,14,3.76
17-07-2025,i-75570,m5.2xlarge,prod,spot,39.88,93.5,15,2.88
17-07-2025,i-62044,c5.large,prod,reserved,14.52,43.82,13,0.77
17-07-2025,i-20205,t3.medium,staging,on_demand,87.4,83.57,19,0.79
18-07-2025,i-63008,m5.xlarge,prod,reserved,74.45,31.92,21,2.82
18-07-2025,i-12733,m5.2xlarge,staging,on_demand,19.53,66.83,18,6.91
18-07-2025,i-57428,m5.xlarge,dev,spot,84,57.32,19,1.82
18-07-2025,i-67104,t3.medium,staging,on_demand,53.59,33.8,15,0.62
18-07-2025,i-61873,c5.large,staging,spot,70.41,25.9,13,0.55
18-07-2025,i-53655,m5.xlarge,prod,reserved,32.51,46.16,15,2.02
18-07-2025,i-24945,m5.large,dev,spot,48.15,30.6,22,1.06
18-07-2025,i-55793,c5.large,prod,on_demand,14.76,61.9,24,2.04
18-07-2025,i-40968,m5.xlarge,prod,spot,29.53,59.41,14,1.34
18-07-2025,i-32740,t3.medium,dev,reserved,18.12,50.9,15,0.44
18-07-2025,i-33218,c5.large,dev,spot,50.27,14.41,13,0.55
